sentence,nutrient,pmid,label,label_0_ratio
"additionally, comparisons between apo-mofe, apo-vfe and the model complex (nbu(4))(2)[fe(4)s(4)(sph)(4)] via exafs measurements showed that apo-vfe does not contain a fully formed [fe(8)s(7)] p-cluster, but rather is comprised of fragmented iron-sulfur clusters.",iron,39544119,0,1.0
"concerning cardiovascular disease, vitamin d deficiency is associated with an increased prevalence of cardiovascular risk factors, mainly metabolic syndrome, type 2 diabetes mellitus and dyslipidemia.",vitamin d,36566517,0,1.0
"design: an open-label study of orally-administered vitamin d(3) (gelcaps) was conducted in patients with liver cirrhosis using a tiered-dosing regimen: 4,000 iu/d for baseline 25(oh)d </= 15 ng/ml and 2,000 iu/d for baseline 25(oh)d > 15 to </= 25 ng/ml (nct01575717).",vitamin d,38217683,2,0.0
"all three dosages of potassium-magnesium citrate significantly increased serum potassium concentration, with >80% of subjects regaining normal values despite continued thiazide therapy.",magnesium,10423646,0,1.0
"although magnesium produces a fall in coronary blood flow, this appears to be due at least in part to a decrease in myocardial oxygen requirements because myocardial oxygen extraction also decreases.",magnesium,3668845,0,0.3333333333333333
"furthermore, the glx/cr ratio significantly decreased after 3 months of treatment (all p < 0.05) in the magnesium valproate and lamotrigine groups, while the glx/cr ratio in the olanzapine group showed no significant change (p > 0.05).",magnesium,39251922,0,1.0
"aims: we aimed to investigate the association of magnesium status with grip strength and fatigue scores, and evaluate whether this association differs by vitamin d status among older participants undergoing geriatric rehabilitation.",magnesium,37285075,1,0.0
"additionally, we explore the potential therapeutic roles of iron chelators and ros scavengers in mitigating the adverse effects of ferroptosis.",iron,39742226,0,1.0
aluminum and magnesium status during pregnancy and placenta oxidative stress and inflammatory mrna expression: china ma'anshan birth cohort study.,magnesium,32621275,3,0.0
"background/aims: iron deficiency is a global nutritional disorder, especially for pregnant women.",iron,24134949,3,0.0
forty patients were given oral iron therapy at a daily dose of 2*80 mg (iron sulfate).,iron,35460388,2,0.0
"beyond anemia, lack of iron has protean manifestations, including fatigue, hair loss, and restless legs.",iron,28189173,1,0.0
"additional research should investigate differential magnesium use by weight status, quantifying risks and benefits.",magnesium,31411907,4,0.0
conclusion: adult nigerian asthmatics have lower plasma magnesium concentrations compared to healthy controls.,magnesium,14640172,0,1.0
"according to the level of 25(oh)d, the asthmatic children were divided into normal vitamin d group, vitamin d insufficiency group, and vitamin d deficiency group.",vitamin d,29972119,4,0.0
assessment of osteoporosis and vitamin d3 deficiency in patients with idiopathic benign paroxysmal positional vertigo (bppv).,vitamin d,37241094,1,0.0
"concomitantly, pharmacists recommended a supplementation of magnesium to improve insomnia.",magnesium,38758630,1,0.0
"after adjusting for age, gender, season, body mass index, and smoking, vitamin d deficiency was still associated with patient status (or: 12.95, ci (95%): 6.03-27.83, p < 0.001).",vitamin d,24884774,3,0.0
"a dose of 2,000 iu/day maintained vitamin d levels within the recommended range, even after the break.",vitamin d,39740917,2,0.0
"in magnesium deficiency, neuronal requirements for magnesium may not be met, causing neuronal damage which could manifest as depression.",magnesium,16542786,1,0.0
"conclusion: our study suggests that carotene, copper, and magnesium are important risk factors for depression, mood disorders, ptsd, phobia, bipo, and dementia.",magnesium,39393463,1,0.0
in group c combination of ferrous fumarate (containing 100 mg of elemental iron) along with vitamin b12 (15 microg) and folic acid (1.5 mg) was administered twice a day.,iron,17915799,2,0.0
"a vegetarian diet is associated with many health benefits because of its higher content of fiber, folic acid, vitamins c and e, potassium, magnesium, and many phytochemicals and a fat content that is more unsaturated.",magnesium,19279075,3,0.0
"calcium, magnesium, phosphorus, folate, and 25-hydroxyvitamin d were negatively correlated with age.",magnesium,39232722,0,1.0
"if magnesium levels remained <1.7 mg/dl after switching to mgp, subjects were enrolled into part 2 and received a one-time mgp dose adjustment.",magnesium,29582552,2,0.0
"in older adults, the odi was associated with iron deficit malnutrition (idm) (adjusted-p = 0.005, eta(2) = 0.06) and both the odi and ph were associated with vitamin b deficit (vbd) (adjusted-p = 0.037, eta(2) = 0.01; adjusted-p = 0.049, eta(2) = 0.01).",iron,40142224,4,0.0
we longitudinally assessed the iron regulatory hormone hepcidin during gestation and postpartum and related hepcidin to conventional indicators of iron status and inflammation.,iron,23241678,0,0.5
[mean corpuscular volume and red blood cell volume distribution width in the diagnosis of iron deficiency anemia in pregnancy].,iron,9596875,3,0.0
"(3) results: cholecalciferol significantly improved vitamin d status in hd patients, with 73% reaching the target 25(oh)d level >75 ng/ml in a median time of 7.5 weeks, with a median total dose of 525,000 iu.",vitamin d,39597015,2,0.0
bioavailability studies showed that all three supplements provided adequate levels (at least 3.5 mg) of absorbed iron when taken postprandially.,iron,3274250,2,0.0
during pregnancy it is however necessary to ensure in diabetic women 400 micrograms folic acid; increased attention must be paid to magnesium intake and during the menopause the vitamin d and calcium intake must be followed up.,magnesium,12642929,3,0.0
"among 0- to 6-year-olds, iron deficiency (id) was 7.2-39.4 % in rural and 16-41.9 % in urban areas.",iron,39428657,4,0.0
"additionally, serum vitamin d3 and ctx-1 levels were significant predictors of low back pain and joint pain, respectively, among exposed workers.",vitamin d,40056194,1,0.0
a1c but not serum glycated albumin is elevated in late pregnancy owing to iron deficiency.,iron,18599529,3,0.0
"hypophosphatemia rates ranged from 0.0% to 92.1% for ferric carboxymaltose (fcm), 0.0% to 40.0% for iron sucrose, 0.4% for ferumoxytol, and 0.0% for low-molecular-weight (lmw) iron dextran.",iron,32308402,4,0.0
background: low levels of 25-hydroxyvitamin d (25(oh)d) have been related to depression and anxiety.,vitamin d,31456988,1,0.0
basic studies on the mechanism of action of vitamin d.,vitamin d,4305083,0,1.0
group m received magnesium sulfate 30 mg/kg intravenously as a bolus before pp.,magnesium,25885838,2,0.0
"adolescents following vegetarian or vegan diets exclusively rely on plant-based, nonheme iron, which has decreased bioavailability compared with heme iron and requires increased total iron intake.",iron,38556251,3,0.0
[spectrophotometric atomic absorption determination of serum magnesium concentrations in infants and children].,magnesium,5047905,4,0.0
"because little free iron is present in the preparation, doses of 510 mg have been administered safely in as little as 17 seconds.",iron,20030475,2,0.0
conclusions: these data are valuable as they enable us to conclude that donors with iron deficiency without anemia after a blood donation would not clinically benefit from iron supplementation.,iron,22272750,0,1.0
background: androgenetic alopecia (aga) is a multifactorial disorder expressed by several genes and various environmental factors apart from nutritional and endocrinological factors.,iron,39600421,1,0.0
"in a well conducted randomized double blind placebo controlled trial, a dietary supplement in the form of a fortified powder fruit drink produced statistically significant differences not only in vitamin a and iron status, but also in the growth of young school age children.",iron,11688080,4,0.0
additional strategies to increase iron may be warranted in female athletes.,iron,39074188,4,0.0
a prospective pilot study was undertaken to investigate the ability of magnesium sulphate to control the spasms of severe tetanus without the need for sedation and artificial ventilation.,magnesium,9370837,1,0.0
"dysregulation of magnesium homeostasis is associated with the severity of depression and specific psychopathological features including apathy, anxiety, irritability, fatigue and weakness.",magnesium,24509052,1,0.0
a linear relationship (p(for nonlinearity) = 0.34) was found between dietary magnesium intake and risk of depression in dose-response analysis.,magnesium,30611059,1,0.0
"although feeding of formulas with iron concentration of 215 mumol/l (12 mg/l) is a reliable means of preventing iron deficiency, high intakes of iron may adversely affect absorption of copper and zinc.",iron,9040549,2,0.0
"however, during the first 3 hours of therapy the intramuscular regimen for severe preeclampsia produced mean magnesium levels that were significantly higher than those levels obtained with the intravenous regimen with a maintenance dose of 2 gm/hr (p less than 0.001).",magnesium,6496595,2,0.0
"[determination by means of atomic absorption spectrophotometry of calcium, magnesium, iron, copper and zinc in the blood of normal children and adolescents].",magnesium,5761161,4,0.0
"iron, aluminum, and thorium impurity removal from a rare earth element pregnant leach solution using magnesium carbonate.",magnesium,40335604,3,0.0
"although the impact that vitamin d has on bone healing is uncertain in foot and ankle (f&a) surgery, there is support for vitamin d supplementation (2000 iu/day) with calcium (1 g/day) to promote bone healing.",vitamin d,38782509,0,1.0
"for 42 days) and ad, followed by vitamin d(3) group (alcl(3) was given as in ad group for 42 days, then vitamin d(3) for two weeks).",vitamin d,38033745,0,1.0
emerging evidence suggests that vitamin d deficiency contributes to the progression of t2dm and is closely associated with the development of depression.,vitamin d,39816051,1,0.0
"for other topical therapies (calcineurin inhibitors and vitamin d analogs), no studies of adverse effects in pregnancy are available, and safety data mainly stem from studies examining effects after systemic administration.",vitamin d,35619672,3,0.0
"anemic (hemoglobin (hb) less than 13 g/dl in male and less than 12 g/dl in female) critically ill adult patients hospitalized for at least five days had an iron profile taken at discharge, d28 and m6.",iron,25529060,4,0.0
"in female rats, the 24-month-old group had higher contents of thiobarbituric acid reactive substances compared with their 12-month-old counterparts, yet similar contents of labile iron.",iron,39422319,4,0.0
"conclusion: vitamin d deficiency, anxiety and depression symptoms are commonly associated with chronic functional constipation induced by intestinal motility disorders.",vitamin d,31011257,1,0.0
"conclusion: in older persons with low serum 25-hydroxyvitamin d level and elevated fall risk, high-dose vitamin d supplementation, >/=1 000 iu/day, did not improve measures of physical function compared to 200 iu/day.",vitamin d,34928336,2,0.0
"before induction of general anesthesia, patients in magnesium group intravenously received mgso4 30 mg/kg in saline within 5 minutes, and patients in control group received the same volume of saline without mgso4.",magnesium,19317065,2,0.0
"for every 100 mg of magnesium intake, there was a 0.052 mmol/l (95% ci 0.019, 0.085) reduction in fasting plasma glucose (p = 0.002).",magnesium,36364842,2,0.0
"in crossover design, iron-depleted women [n = 11; median serum ferritin (sf) 15.2; iqr: 12.6-21.2 microg/l] received 2 14-mg iron doses as labeled (57fe,58fe) fefum 14 d apart with and without 15 g gos in randomly assigned order.",iron,34726703,2,0.0
"egcg (100mg/kg/day) and cga (120mg/kg/day) in combination with vitamin d (25mcg/kg/day) was given orally for 15 days, from day 21 to 35.",vitamin d,40334995,2,0.0
"also, we applied subeffective doses of antagonists including ketamine (1mg/kg), mk-801 (0.05mg/kg), and magnesium sulfate (10mg/kg) to both sc and ic mice prior to behavioral experiments.",magnesium,25592321,2,0.0
"both cd-exposed btzip8-3 and wt were similar in lower urinary ph; increased plasma alanine and aspartate aminotransferase activities; elevated iron and copper content in liver, kidney, lung, and testis; and higher blood urea nitrogen and kidney weight.",iron,24345748,4,0.0
eight studies with 4612 participants were eligible for meta-analysis using a control group receiving either low-dose vitamin d supplementation (</=400 iu/d) or placebo when investigating the risk of saes such as hospitalization or death.,vitamin d,35420658,2,0.0
association between lower serum vitamin d (25-hydroxy-cholecalciferol) concentrations and cognitive impairment in older adults: data from a populational-based cohort study in a middle-income country.,vitamin d,34689855,4,0.0
aim: we compared the serum 25(oh) vitamin d level in obese children versus control and found correlations between vitamin d level and hematological indices in obese children.,vitamin d,37152869,4,0.0
"however, fbg decreased significantly over time independent of vitamin d3 dose (800 iu: 5.54 [5.42; 5.66] to 5.32 [5.19; 5.44], p(time) < .001; 2000 iu: 5.5 [5.38; 5.62] to 5.39 [5.27; 5.51] mmol/l, p(time) = .019).",vitamin d,33368963,2,0.0
"each arm treated either of the two forms of vitamin d had a once weekly dose of 50,000 iu for a period of 6 weeks.",vitamin d,34267848,2,0.0
background: growing evidence suggests a significant association between vitamin d deficiency and ras.,vitamin d,37426194,0,1.0
"in one pregnant patient undergoing caesarean section, mgso4 was ineffective in controlling cardiovascular disturbances because of inadequate serum magnesium concentrations.",magnesium,2751917,3,0.0
"we will also focus on the influence of weather, seasonality, and particularly vitamin d levels, on ra activity, suggesting potential for seasonal management and supplementation to mitigate disease severity.",vitamin d,38829018,0,0.5
conclusion: the majority of pregnant women used iron supplements in case of a diagnosed iron deficiency/anaemia.,iron,30545329,3,0.0
"in males, there was a significant weak correlation between calcium and magnesium intake and the ci, bai, avi, wwi, and bri.",magnesium,37159492,0,1.0
[randomized clinical trial of intravenous magnesium sulfate versus salbutamol in early management of severe acute asthma in children].,magnesium,14647859,4,0.0
"comparison of vitamin d3 supplementation doses of 1,000, 2,000, 4,000 and 8,000 iu in young healthy individuals.",vitamin d,39740917,2,0.0
"conclusion: we identified associations of magnesium laxatives with aging, stimulant laxatives with female sex, antihypertensives, low outside temperature and less 30 min of vigorous exercise.",magnesium,32831027,4,0.0
association of vitamin d receptor gene polymorphisms with diabetic dyslipidemia in the elderly male population in north china.,vitamin d,29066872,4,0.0
"by influencing diverse host pathways, including innate immune, vitamin d receptor, and aryl hydrocarbon receptor signaling, a balanced microbiota contributes to both tissue homeostasis and host defense.",vitamin d,40050613,0,1.0
"group a received sham espb (2 ml normal saline), group b received espb with 20 ml of bupivacaine (0.25%), and group c received espb with 20 ml of bupivacaine (0.25%) and 100 mg magnesium sulphate.",magnesium,35901476,2,0.0
a 56-hour test was used to study cation and creatinine excretion before and after an intramuscular load of 0.49 meq of magnesium/kg of body weight.,magnesium,1168557,4,0.0
claims that magnesium nutriture has a role in preventing or ameliorating chronic disease such as heart disease and hypertension need to be critically evaluated if they are to be used to set the next rda.,magnesium,8811804,0,1.0
estimating the prevalence of preoperative iron deficiency and its impact on red blood cell transfusion in adolescents undergoing scoliosis surgery: a pilot study.,iron,40191932,4,0.0
"conclusions: our findings indicate that alterations in the zinc, magnesium and nmda receptor complex in the hippocampus are potentially involved in the pathophysiology of suicide-related disorders (depression), which may lead to functional nmda receptor hyperactivity.",magnesium,24055117,1,0.0
"hypertensive alcoholics were older and tended to use greater amounts of alcohol, but their liver enzymes, alcohol levels on admission, and serum magnesium concentrations did not distinguish them from normotensive alcoholics.",magnesium,3890591,3,0.0
"group a received a bolus of 50 mg/kg, while group b received 30 mg/kg of intravenous magnesium sulphate, given over a 20 min duration following sab.",magnesium,36013512,2,0.0
dietary intake of vitamin d during pregnancy and the risk of postpartum depressive symptoms: the japan environment and children's study.,iron,36858536,3,0.0
"87 female participants aged 18-45 years with hemoglobin < 10 g/dl and serum ferritin < 20 ng/ml were assigned to receive iron therapy every other day, once daily, or twice daily.",iron,40224701,4,0.0
conclusion: this study demonstrates that a 20 mg/kg magnesium pretreatment attenuates sif and pomp more effectively than 7.5 mg/kg and 10 mg/kg doses in patients undergoing succinylcholine-assisted airway management for general anesthesia.,magnesium,40009802,2,0.0
conclusions: sulfated vitamin d metabolites have prominent roles for women during lactation with 25ohd(3)-s highly abundant in serum and vitd(3)-s distinctly abundant in breastmilk.,vitamin d,39024772,3,0.0
"vitamin d deficiency is believed to affect between 35 and 55% of the world's population, making it a hidden pandemic.",vitamin d,36049434,0,0.5
"background: anemia, iron deficiency (id), and iron deficiency anemia (ida) among young children are public health concerns in developing countries.",iron,29901736,4,0.0
"blood was assayed for vitamin d, sex hormones, and a metabolic panel.",vitamin d,30768576,4,0.0
"being premature, not attending antenatal care, having pregnancy-induced hypertension, being a rural resident, having a pregnancy interval < 24 months, not having iron-folic acid supplementation and being a maternal age < 20 were significant predictors of lbw.",iron,40338902,3,0.0
aims: to investigate the relationship between vitamin d and mg deficiency and the risk of anxiety and depression in patients with primary hyperhidrosis.,vitamin d,33738914,1,0.0
children with inattentive type had significant lower levels of zinc and ferritin than controls (p value 0.001 and 0.01 respectively) with no significant difference between them as regards magnesium and copper levels (p value 0.4 and 0.6 respectively).,magnesium,22206662,4,0.0
critical vitamin d and iron intakes in infants aged 6-11 months: results from the nationwide german kiesel study.,iron,40034734,4,0.0
conclusion: vitamin d deficiency was correlated with the symptoms of depression in stroke patients.,vitamin d,26949678,1,0.0
"conclusion: preoperative iron deficiency is frequent among cardiac surgery patients and is associated with anaemia, higher transfusion requirements and postoperative fatigue.",iron,21885979,1,0.0
correction: maternal vitamin d intake and bmi during pregnancy in relation to child's growth and weight status from birth to 8 years: a large national cohort study.,vitamin d,36889837,3,0.0
all patients also received daily oral iron (200 mg fe(+)).,iron,16965592,2,0.0
"aluminum, boron, calcium, copper, iron, magnesium, manganese, molybdenum, phosphorus, potassium, sodium, and zinc: concentrations in common western foods and estimated daily intakes by infants; toddlers; and male and female adolescents, adults, and seniors in the united states.",magnesium,11573761,4,0.0
"immediately after the marathon race, we observed a negative correlation between il-8 and daily ei, carbohydrate, fiber, fat, iron, calcium, potassium, and sodium intakes, and higher levels of il-8 on runners with <3 g/kg/day of carbohydrate intake compared to runners with >5 g/kg/day.",iron,31686980,2,0.0
"a high proportion of pregnant and lactating women had inadequate intakes for vitamin d (94%), vitamin e (82%), vitamin c (52%), and vitamin a (50%), magnesium (35%), folate (31%), zinc (25%), and vitamin b(6) (22%); only 4% and 35% met ai for choline and potassium, respectively.",magnesium,38613015,3,0.0
animals challenged with 0.125% dncb in the presence of magnesium chloride (28% and 14%) demonstrated significantly less pronounced contact dermatitis (ear swelling) than did animals challenged with dncb alone (p less than 0.001 and p less than 0.01).,magnesium,2276913,1,0.0
almost all (94%) patients required magnesium supplements to maintain magnesium (mg) levels >/=1.5 mg/dl.,magnesium,22484323,0,1.0
"after treatment with oral iron, patients of group 1 show a significant increase in serum ferritin, serum iron, hematocrit, erythrocytes, and hemoglobin, a significant decrease in transferrin, and diminished iron absorption.",iron,6880414,0,1.0
"authors' conclusions: intravenous iron probably reduces fatigue slightly in the early postpartum weeks (8 to 28 days) compared to oral iron tablets, but probably results in little to no difference after four weeks.",iron,39670550,1,0.0
"ferroptosis is a type of regulated cell death characterized by its non-apoptotic, iron-dependent and oxidative nature.",iron,39614322,0,1.0
"crystalline desoxyribonuclease acts very slowly, if at all, in the absence of magnesium (or manganese) ions.",magnesium,15406374,0,1.0
"however, data on the vitamin d status of young african children and its environmental and genetic predictors are limited.",iron,34011341,4,0.0
"eligible participants were randomized to receive either treatment as usual (tau; n = 23) or tau plus single parenteral dose of 3,00,000 iu of vitamin d (n = 23) at baseline.",vitamin d,32823218,2,0.0
conclusion: pm2.5 exposure might contribute to suboptimal levels of vitamin d in pregnancy.,vitamin d,38870315,3,0.0
"at uw health, magnesium was given at a rate of 1g/60 min.",magnesium,39434564,2,0.0
a decrease in the solvent polarity increases the charge transfer from the oxygen of the alcohol to the iron ions.,iron,18826271,3,0.0
erratum to: iron deficiency without anemia is associated with anger and fatigue in young japanese women.,iron,26487444,1,0.0
(n = 42) or caffeine plus magnesium plus aminophylline 250 mg i.v.,magnesium,22764514,3,0.0
"as such, vitamin d enhances the efficacy of memantine in terms of neuronal protection and prevention of cognitive decline in alzheimer's disease.",vitamin d,24948022,1,0.0
background: the role of vitamin d in depression has been gaining increased research interest.,vitamin d,34606802,1,0.0
"high concentrations of soluble orthophosphate, magnesium and potassium are released during anaerobic digestion of biological phosphorus removal (bpr) sludge.",magnesium,12188563,0,1.0
"conclusion treatment with oral liposomal iron is effective in improving mild iron deficiency anemia and quality of life, as well as in decreasing fatigue in patients with inactive or mildly active inflammatory bowel disease.",iron,32367457,1,0.0
"conclusion: effective vitamin d supplementation in healthy young adults can be achieved with a daily dose of 2,000 iu during winter.",vitamin d,39740917,2,0.0
"extraintestinal symptoms and fatigue inversely associated with intake of vitamin b6, phosphorus, magnesium, and iodine, as was plasma levels of iron, and positively associated with plasma iron-binding capacity.",magnesium,35304769,1,0.0
aim: to determinate the efficacy of picosulphate sodium with magnesium citrate as a bowel preparation in children and adolescents.,magnesium,15499422,4,0.0
"determination of maternal serum zinc, iron, calcium and magnesium during pregnancy in pregnant women and umbilical cord blood and their association with outcome of pregnancy.",magnesium,27147914,3,0.0
"conclusions: the oral vitamin d3 supplementation, according the dose, and the treatment duration does not like in black-skinned people versus to white-skinned inhabitants, while the 02 groups are native to the same saharan environment.",vitamin d,35930297,2,0.0
"a novel serial catalytic strategy for selective defluoroalkylation of trifluoromethyl alkenes has been developed, utilizing photocatalytic defluorocarboxylation followed by photoinduced iron-catalyzed decarboxylation/isomerization.",iron,40152816,0,1.0
"effect of oral high molecular weight hyaluronic acid (hmwha), alpha lipoic acid (ala), magnesium, vitamin b6 and vitamin d supplementation in pregnant women: a retrospective observational pilot study.",magnesium,37736936,3,0.0
"conclusion: the results indicate that higher maternal vitamin d status during pregnancy may be related to higher childhood adiponectin z-score, but not with any other cardiometabolic risk marker.",vitamin d,39999040,3,0.0
and the utilization of other non-essential heavy metals such as cadmium are increased due to iron deficiency anemia in women during pregnancy.,iron,40306534,3,0.0
dietary magnesium intake was stratified by low magnesium intake (<299 mg/d) and high magnesium intake (>/=299 mg/d).,magnesium,35284447,2,0.0
fracture protection is optimal when patient adherence to medication exceeds 80% and vitamin d doses exceed 700 iu/day.,vitamin d,18852718,2,0.0
after a prospective baseline period of 4 weeks they received oral 600 mg (24 mmol) magnesium (trimagnesium dicitrate) daily for 12 weeks or placebo.,magnesium,8792038,2,0.0
disturbances of calcium and magnesium metabolism are frequent in hyperthyroid patients.,magnesium,2805340,0,1.0
"also, the information on shielding effect of maternal dietary iron intake during pregnancy on the adverse effects of prenatal lead exposure on children's postnatal neurocognitive development is very limited.",iron,26825887,3,0.0
conclusion: children and adolescents with t1dm have lower magnesium levels than controls; that is more pronounced among those having microangiopathy.,magnesium,40169565,4,0.0
"after fasting over 8 hours all subjects took 150 ml of milk (777 j) mixed with 150 g magnesium sulfate, and laid supinely on 30 degrees angle with horizontal line, x-ray films were taken at 0, 30, 60, and 90 minutes after the meal, respectively.",magnesium,12903418,2,0.0
"a preliminary experiment was conducted to standardise the dose of fitc-pna conjugated iron mnps (0.02, 0.05, 0.1, 0.15, 0.2, 0.4 and 0.6 mg).",iron,39403825,2,0.0
"data analysis of striation spacing, lifetime, and crack length in crankshaft ductile cast iron under cyclic bending loading through high-cycle fatigue regime.",iron,36426029,1,0.0
"after iron supplementation there was a significant increase in s-ferritin levels and a decrease in s-transferrin levels, with an accompanying significant reduction of the symptom scores of vertigo/dizziness, irritability, depressive symptoms, and indisposition.",iron,16025871,1,0.0
it was concluded that during normal pregnancy and pseudopregnancy zinc and magnesium would always be present in amounts considerably greater than those required to saturate alkaline phosphatase for full catalytic activity.,magnesium,7283878,3,0.0
effects of maternal vitamin d levels on prematurity: feasibility study in a multicenter observational pilot.,vitamin d,40218918,0,1.0
depression of the indirect twitch in solutions with a decreased calcium: magnesium ratio was also used as a relative measure of synaptic efficacy.,magnesium,6310088,1,0.0
conclusion: more research is necessary to determine whether vitamin d supplementation can be a simple and economical solution to increase pregnancy rates.,vitamin d,39827386,3,0.0
ferroptosis is a form of cell death due to iron-induced lipid peroxidation.,iron,40233740,0,1.0
"correlation analysis revealed negative correlations between serum vitamin d levels and beck depression inventory (r =  - 0.234; p < 0.001), beck anxiety inventory (r =  - 0.135; p = 0.016), and psqi (r =  - 0.218; p < 0.001) scores.",vitamin d,37542680,1,0.0
gravid women received a 4-g loading dose of magnesium sulfate and were prospectively randomly assigned to receive a maintenance dose of 2 or 5 g/h.,magnesium,10871468,2,0.0
"in multivariate analysis, only pregnancy and pregnancy-related conditions (odds ratio [or], 4.39; 95% confidence interval [ci], 1.2-15.3) and diabetes mellitus (or, 9.04, 95% ci, 3.3-24.75) were significantly associated with low serum magnesium levels.",magnesium,14523888,3,0.0
"before treatment, the levels of the major elements potassium (k) and magnesium (mg) in children with arf were higher than in the control group, whereas the calcium (ca) level was lower.",magnesium,20593282,4,0.0
background: magnesium enhances the effect of rocuronium.,magnesium,24608361,0,1.0
"for three months, participants were given a placebo (group a), 1000 international units (iu) of vitamin d3 per day (group b), 500 iu per day (group c), or 2000 iu per day (group a).",vitamin d,37694098,2,0.0
"findings: between march 1, 2021, and march 7, 2022, 1300 children were randomly assigned to the iron-folic acid plus multiple micronutrients group (n=648) or the iron-folic acid alone group (n=652).",iron,40021307,4,0.0
"a single oral dose of 160 mg tardyferon(r) administered under fasting conditions to this target population resulted in a long-lasting release of iron in the gastrointestinal tract, leading to optimal iron absorption.",iron,28724166,2,0.0
detection of ret-he can advance the diagnosis of iron deficiency in female blood donors to the ide stage.,iron,39479846,4,0.0
background: iron deficiency anemia affects hundreds of millions of women and children worldwide and is associated with impaired infant outcomes.,iron,32006028,4,0.0
association between early childhood vitamin d status and age 6-year lung function among children with a history of severe bronchiolitis in infancy.,vitamin d,37242262,4,0.0
"additionally, iron limitation resulted in a strong decline in carbon fixation and thus the particulate organic carbon quotas.",iron,24719494,0,1.0
"conclusions: the evaluation of pth, 25-hydroxy-vitamin d, serum calcium, and 24-hr urinary calcium proved adequate for initial osteoporosis screening.",vitamin d,36950840,0,1.0
few studies have examined the association between vitamin d and toxic metals in pregnant women.,vitamin d,39156920,3,0.0
"about half of the countries recommended an iron supplement (dose range, 16-195 mg/day) and one quarter vitamin d (typically 10 microg/d in higher latitudes) and iodine (150-200 microg/day).",iron,38228076,2,0.0
"results: according to the us endocrine society classification, vitamin d deficiency (0-20 ng/ml) was determined at significantly higher rates in the obese group than in the control group (p < 0.001).",vitamin d,32616391,0,0.5
associations of anaemia and iron status with birth outcomes were determined using regression models adjusted for confounders.,iron,31479449,0,1.0
a comparison of maternal calcium and magnesium levels in pre-eclamptic and normotensive pregnancies: an observational case-control study.,magnesium,24102858,0,1.0
comparing the effectiveness of vitamin d plus iron vs vitamin d on depression scores in anemic females: randomized triple-masked trial.,iron,31456988,1,0.0
an impact of vitamin d in neurocognitive function has been theorized but it remains unknown whether vitamin-d insufficiency (vdi) is associated with worse socio-emotional adjustment (sea) in vulnerable early school-aged children.,vitamin d,31336843,4,0.0
animals were supplemented with vitamin d3 at doses of 42 iu/kg and 420 iu/kg for 21 days.,vitamin d,36689104,2,0.0
aims and objectives: the efficacy of 10g intramuscular loading dose of magnesium sulphate in women with severe preeclampsia/eclampsia was assessed at a tertiary health centre for potential use at primary health level.,magnesium,23064169,2,0.0
"a national population-based cross-sectional nutrition survey, the elderly nutrition and health survey in taiwan (1999-2000), was used to investigate the magnesium status and association with diabetes in the taiwanese elderly.",magnesium,16169838,4,0.0
"additionally, vitamin d deficiency was linked with adverse maternal and foetal outcomes such as hypertensive disorders in pregnancy, preterm birth and low birth weight.",vitamin d,39843364,3,0.0
"association between vitamin d receptor polymorphisms, tight junction proteins and clinical features of adult patients with atopic dermatitis.",vitamin d,39122483,1,0.0
group m received erector spinae plane block + general anesthesia + opioid-free analgesic mixture (1 mcg/cc dexmedetomidine + 1 mg/cc ketamine + 100 mg/cc magnesium sulfate prepared in a 20 ml syringe).,magnesium,36874747,2,0.0
"however, studies also indicated that dietary nutrients such as folic acid, vitamin b12, vitamin b6, omega-3 fatty acids, zinc, selenium, and magnesium might be associated with the risk of depression.",magnesium,36565729,1,0.0
"acepromazine (500 microgram), tetrodotoxin (0.5 microgram) and magnesium sulfate (7.5 mg twice) given intracerebroventricularly increased the doses of ouabain given by continuous intravenous infusion, required to induce arrhythmias and death.",magnesium,424441,2,0.0
conclusions: intravenous infusion of magnesium sulfate during the first hour of hospitalization in patients with acute severe asthma significantly reduced the percentage of children who required mechanical ventilation support.,magnesium,22859321,4,0.0
conclusions: vitamin d deficiency in mid-pregnancy may be a factor affecting the development of ppd.,vitamin d,24965990,3,0.0
brazil magnesium (bramag) trial: a double-masked randomized clinical trial of oral magnesium supplementation in pregnancy.,magnesium,32316938,3,0.0
conclusion: the high frequency of poor vitamin d status in otherwise healthy children indicates a necessity for supplementation and for implementing lifelong strategies that increase and maintain adequate levels of sun exposure.,vitamin d,31935312,4,0.0
conclusions: vitamin d supplementation in pregnancy has significant positive effects on fetal bone maturation besides contributing to maternal bone health.,vitamin d,39825247,3,0.0
we performed a systematic quantitative review on characteristics of randomized clinical trials (rcts) included in meta-analyses (mas) on non-skeletal effects of vitamin d supplementation.,vitamin d,28686645,0,0.5
"conclusions: we observed improved mri outcomes on percent brain volume change and proportion of patients free of new/enlarging t2 lesions, and a trend of less depression in the 'daily users' of vitamin d supplement in patients in the freedoms trials.",vitamin d,29243005,1,0.0
magnesium and bupivacaine-induced convulsions in awake pregnant rats.,magnesium,15627536,3,0.0
"dialysate magnesium and coronary artery calcification, bone mineral density, and cramping in maintenance hemodialysis: a quasi-experimental study.",magnesium,35243301,1,0.0
"at the same time, magnesium prevents or almost completely removes the binding of exogenously added cyto-c.",magnesium,19016854,0,1.0
